,P_LRMS_QUEUING,P_LRMS_RUNNING,P_LRMS_SUBMITTING,P_PMGR_QUEUING,P_PMGR_SCHEDULING,TTC,U_AGENT_EXECUTING,U_AGENT_QUEUING,U_AGENT_QUEUING_EXEC,U_AGENT_SCHEDULING,U_UMGR_BINDING,U_UMGR_SCHEDULING,experiment,ncore,ncore_active,nhost,npilot,npilot_active,nunit,nunit_done,nunit_failed,sid
rp.session.radical.merzky.017192.0008,318.147700071,801.330600023,46.7644999027,0.000900030136108,0.00129985809326,1202.30979991,758.939599991,0.0338001251221,1.91190004349,0.112799882889,0.0195999145508,0.0863001346588,exp1,128,128,1,1,1,128,128,0,rp.session.radical.merzky.017192.0008
rp.session.radical.merzky.017192.0009,150.880800009,1101.24449992,42.6270999908,0.000999927520752,0.000900030136108,1331.41330004,760.298099995,0.0647001266479,4.6478998661,0.234999895096,0.0315999984741,0.170300006866,exp1,256,256,1,1,1,256,256,0,rp.session.radical.merzky.017192.0009
rp.session.radical.merzky.017192.0011,708.036800146,1001.12019992,39.3593997955,0.000900030136108,0.000699996948242,1770.34679985,766.690000057,0.127899885178,12.1013000011,0.548799991608,0.0782001018524,0.358599901199,exp1,512,512,1,1,1,512,512,0,rp.session.radical.merzky.017192.0011
rp.session.radical.merzky.017192.0012,306.659699917,2302.25489998,36.8443000317,0.00119996070862,0.000999927520752,2681.80110002,796.877699852,0.257600069046,37.1107001305,1.56399989128,0.114300012589,0.698800086975,exp1,1024,1024,1,1,1,1024,1024,0,rp.session.radical.merzky.017192.0012
rp.session.radical.merzky.017192.0013,392.08949995,4169.68790007,35.6362998486,0.000900030136108,0.000600099563599,4601.67250013,843.942000151,0.515700101852,81.1672999859,3.9672999382,0.344300031662,1.51449990273,exp1,2048,2048,1,1,1,2048,2048,0,rp.session.radical.merzky.017192.0013
rp.session.radical.merzky.017192.0014,1942.95859981,6306.64289999,36.3157000542,0.000900030136108,0.000999927520752,8289.69009995,935.548099995,1.07239985466,182.816200018,19.2006001472,1.11710000038,3.41960000992,exp1,4096,4096,1,1,1,4096,4096,0,rp.session.radical.merzky.017192.0014
rp.session.radical.merzky.017213.0004,313.556200027,800.722199917,52.6008000374,0.00129985809326,0.00110006332397,1203.38149977,758.477999926,0.063600063324,3.71930003166,0.241199970245,0.0281000137329,0.123899936676,exp1,256,256,1,1,1,256,256,0,rp.session.radical.merzky.017213.0004
rp.session.radical.merzky.017213.0005,2496.09899998,800.579300165,39.0627000332,0.00129985809326,0.00130009651184,3372.64450002,770.544900179,0.123899936676,13.625,0.565099954605,0.0543999671936,0.270599842072,exp1,512,512,1,1,1,512,512,0,rp.session.radical.merzky.017213.0005
rp.session.radical.merzky.017213.0006,142.869400024,901.177399874,38.1112000942,0.00129985809326,0.00119996070862,1085.73709989,791.033699989,0.246500015259,36.5000998974,1.48440003395,0.13840007782,0.501600027084,exp1,1024,1024,1,1,1,1024,1024,0,rp.session.radical.merzky.017213.0006
rp.session.radical.merzky.017214.0000,559.748100042,900.757599831,34.3775999546,0.00170016288757,0.00139999389648,1498.58159995,831.075400114,0.490899801254,78.8041000366,3.9851000309,0.241800069809,1.02309989929,exp1,2048,2048,1,1,1,2048,2048,0,rp.session.radical.merzky.017214.0000
rp.session.radical.merzky.017214.0001,2285.05209994,1001.09670019,31.9502999783,0.00130009651184,0.00149989128113,3339.90100002,922.978499889,1.00460004807,172.59649992,20.9184000492,0.47889995575,2.07690000534,exp1,4096,4096,1,1,1,4096,4096,0,rp.session.radical.merzky.017214.0001
rp.session.radical.merzky.017220.0008,477.204699993,800.989000082,49.788599968,0.00119996070862,0.00119996070862,1364.35360003,761.131599903,0.0327999591827,1.97189998627,0.111500024796,0.0152997970581,0.0730001926422,exp1,128,128,1,1,1,128,128,0,rp.session.radical.merzky.017220.0008
rp.session.radical.merzky.017220.0009,140.001300097,801.316399813,47.0701999664,0.00130009651184,0.0010998249054,1024.50320005,758.260200024,0.0636999607086,3.67379999161,0.238000154495,0.0286998748779,0.125100135803,exp1,256,256,1,1,1,256,256,0,rp.session.radical.merzky.017220.0009
rp.session.radical.merzky.017220.0010,141.934100151,800.65199995,37.5771999359,0.00149989128113,0.00130009651184,1017.59839988,770.752599955,0.12030005455,15.1217000484,0.571300029755,0.0732998847961,0.263700008392,exp1,512,512,1,1,1,512,512,0,rp.session.radical.merzky.017220.0010
rp.session.radical.merzky.017220.0011,147.820599794,922.468800068,40.8953001499,0.00149989128113,0.00139999389648,1115.9526,785.354799986,0.247899770737,35.2739999294,1.4118001461,0.145999908447,0.513700008392,exp1,1024,1024,1,1,1,1024,1024,0,rp.session.radical.merzky.017220.0011
rp.session.radical.merzky.017221.0000,141.525900126,901.297999859,39.5376999378,0.00130009651184,0.00119996070862,1086.68920016,828.940900087,0.501100063324,75.867399931,4.7351000309,0.224099874496,0.996999979019,exp1,2048,2048,1,1,1,2048,2048,0,rp.session.radical.merzky.017221.0000
rp.session.radical.merzky.017221.0001,136.668800116,1001.16369987,39.0544998646,0.00139999389648,0.00119996070862,1199.07119989,919.681200027,0.982100009918,167.900599957,20.4167001247,0.520300149918,2.12949991226,exp1,4096,4096,1,1,1,4096,4096,0,rp.session.radical.merzky.017221.0001
rp.session.radical.merzky.017227.0000,148.800100088,800.512599945,46.538299799,0.00110006332397,0.000800132751465,1032.69280005,760.302699804,0.0327000617981,1.86159992218,0.111500024796,0.0190999507904,0.0629000663757,exp1,128,128,1,1,1,128,128,0,rp.session.radical.merzky.017227.0000
rp.session.radical.merzky.017227.0001,138.698899984,801.174999952,34.0527000427,0.000900030136108,0.000699996948242,1010.29810023,764.485599995,0.0629999637604,3.62569999695,0.238199949265,0.0299999713898,0.12450003624,exp1,256,256,1,1,1,256,256,0,rp.session.radical.merzky.017227.0001
rp.session.radical.merzky.017227.0002,134.557699919,900.570199966,35.5357999802,0.00110006332397,0.000699996948242,1074.53539991,852.583199978,0.12299990654,15.8162000179,0.579300165176,0.069500207901,0.314999818802,exp1,512,512,1,1,1,512,512,0,rp.session.radical.merzky.017227.0002
rp.session.radical.merzky.017227.0003,139.484299898,901.426199913,33.670800209,0.00229978561401,0.000699996948242,1078.65459991,794.623599768,0.251399993896,36.3861000538,1.57419991493,0.153100013733,0.628000020981,exp1,1024,1024,1,1,1,1024,1024,0,rp.session.radical.merzky.017227.0003
