,P_LRMS_QUEUING,P_LRMS_RUNNING,P_LRMS_SUBMITTING,P_PMGR_QUEUING,P_PMGR_SCHEDULING,TTC,U_AGENT_EXECUTING,U_AGENT_QUEUING,U_AGENT_QUEUING_EXEC,U_AGENT_SCHEDULING,U_UMGR_BINDING,U_UMGR_SCHEDULING,experiment,ncore,ncore_active,nhost,npilot,npilot_active,nunit,nunit_done,nunit_failed,sid
rp.session.radical.merzky.017227.0004,141.062900066,901.441799879,36.1926000118,0.000799894332886,0.000600099563599,1082.6546998,830.433599949,0.498199939728,69.0859999657,3.89750003815,0.32790017128,1.06569981575,exp1,2048,2048,1,1,1,2048,2048,0,rp.session.radical.merzky.017227.0004
rp.session.radical.merzky.017227.0005,138.684900045,1000.69079995,36.3655998707,0.00110006332397,0.00130009651184,1198.97079992,913.526499987,1.00930023193,158.602799892,16.575799942,0.507199764252,2.3779001236,exp1,4096,4096,1,1,1,4096,4096,0,rp.session.radical.merzky.017227.0005
rp.session.radical.merzky.017227.0006,138.123399973,800.473799944,38.3041000366,0.000800132751465,0.000799894332886,1013.53579998,752.033699989,0.0322999954224,1.91420006752,0.109499931335,0.0234999656677,0.0689001083374,exp1,128,128,1,1,1,128,128,0,rp.session.radical.merzky.017227.0006
rp.session.radical.merzky.017227.0007,150.483200073,801.248699903,34.2402000427,0.000799894332886,0.000800132751465,1022.38209987,763.333499908,0.0629000663757,3.24580001831,0.23810005188,0.0297000408173,0.165099859238,exp1,256,256,1,1,1,256,256,0,rp.session.radical.merzky.017227.0007
rp.session.radical.merzky.017227.0008,135.682299852,801.218300104,38.5471999645,0.000900030136108,0.000499963760376,1011.4073,774.398599863,0.121899843216,14.7925999165,0.560700178146,0.060800075531,0.272799968719,exp1,512,512,1,1,1,512,512,0,rp.session.radical.merzky.017227.0008
rp.session.radical.merzky.017227.0009,137.098200083,800.562899828,39.3529000282,0.000999927520752,0.000900030136108,1014.74300003,784.256299973,0.249000072479,32.380699873,1.39700007439,0.14829993248,0.533300161362,exp1,1024,1024,1,1,1,1024,1024,0,rp.session.radical.merzky.017227.0009
rp.session.radical.merzky.017227.0010,143.147799969,1024.08759999,40.2578999996,0.000799894332886,0.00110006332397,1211.79819989,843.126200199,0.487499952316,79.2101998329,3.83920001984,0.244699954987,1.01559996605,exp1,2048,2048,1,1,1,2048,2048,0,rp.session.radical.merzky.017227.0010
rp.session.radical.merzky.017227.0011,148.388000011,1001.09329987,40.3387000561,0.000699996948242,0.000600099563599,1211.6236999,925.835200071,1.0,160.124599934,18.9813997746,0.494099855423,2.31080007553,exp1,4096,4096,1,1,1,4096,4096,0,rp.session.radical.merzky.017227.0011
rp.session.radical.merzky.017227.0012,137.17930007,801.435500145,40.2467999458,0.000699996948242,0.000699996948242,1014.81399989,757.019799948,0.0327000617981,2.02740001678,0.112499952316,0.016300201416,0.0660998821259,exp1,128,128,1,1,1,128,128,0,rp.session.radical.merzky.017227.0012
rp.session.radical.merzky.017227.0013,137.944400072,800.700999975,39.3578000069,0.000900030136108,0.000799894332886,1014.63560009,764.265500069,0.0631000995636,5.28429985046,0.238699913025,0.0378999710083,0.181499958038,exp1,256,256,1,1,1,256,256,0,rp.session.radical.merzky.017227.0013
rp.session.radical.merzky.017227.0014,139.159500122,801.458899975,35.9753000736,0.000899791717529,0.000600099563599,1012.64899993,774.432800055,0.122700214386,15.6598000526,0.554899930954,0.0643999576569,0.279899835587,exp1,512,512,1,1,1,512,512,0,rp.session.radical.merzky.017227.0014
rp.session.radical.merzky.017227.0015,137.656599998,901.340999842,34.6737000942,0.000799894332886,0.000699996948242,1077.33889985,830.732900143,0.245399951935,31.3387999535,1.36630010605,0.158099889755,0.519100189209,exp1,1024,1024,1,1,1,1024,1024,0,rp.session.radical.merzky.017227.0015
rp.session.radical.merzky.017227.0017,138.536999941,1000.95230007,42.0729000568,0.000699996948242,0.000699996948242,1203.86800003,928.325999975,1.01910018921,171.466700077,19.5620000362,0.558599948883,2.11940002441,exp1,4096,4096,1,1,1,4096,4096,0,rp.session.radical.merzky.017227.0017
rp.session.radical.merzky.017233.0002,41358.6321001,800.562599897,44.6679000854,0.000799894332886,0.000699996948242,42241.0479999,762.158400059,0.0321998596191,1.95180010796,0.109200000763,0.0183999538422,0.0754001140594,exp1,128,128,1,1,1,128,128,0,rp.session.radical.merzky.017233.0002
rp.session.radical.merzky.017234.0000,15419.8998001,800.488600016,36.7886998653,0.000800132751465,0.000899791717529,16294.4254,768.481699944,0.0626997947693,4.63179993629,0.235700130463,0.0305001735687,0.125399827957,exp1,256,256,1,1,1,256,256,0,rp.session.radical.merzky.017234.0000
rp.session.titan-ext1.merzky1.017241.0002,85.420800209,3001.84149981,52.505699873,0.00150012969971,0.112699985504,3145.79350019,2930.61100006,0.176599979401,5.20830011368,1946.96879983,0.0576999187469,1.38809990883,exp1,256,256,1,1,1,256,256,0,rp.session.titan-ext1.merzky1.017241.0002
rp.session.titan-ext1.merzky1.017241.0003,92.794200182,3093.43470001,54.2786998749,0.00180006027222,0.115099906921,3246.06060004,2962.68849993,0.349499940872,11.6478004456,1943.98959994,0.119400024414,2.66529989243,exp1,512,512,1,1,1,512,512,0,rp.session.titan-ext1.merzky1.017241.0003
rp.session.titan-ext1.merzky1.017241.0006,147.740200043,3003.40310001,58.6470000744,0.00169992446899,0.117100000381,3216.0704999,2949.29819989,2.21479988098,116.370800257,1931.02270007,1.87789988518,11.3217000961,exp1,4096,4096,1,1,1,4096,4096,0,rp.session.titan-ext1.merzky1.017241.0006
