,CANCELED,DONE,FAILED,NEW,PMGR_ACTIVE,PMGR_ACTIVE_PENDING,PMGR_LAUNCHING,PMGR_LAUNCHING_PENDING,P_LRMS_QUEUING,P_LRMS_RUNNING,P_LRMS_SUBMITTING,P_PMGR_QUEUING,P_PMGR_SCHEDULING,experiment,hid,ncore,nunit,pid,sid
0,,,4544.51070023,4.53540015221,970.076800108,35.5428001881,4.69660019875,4.69500017166,934.53399992,3574.43390012,30.8461999893,0.00160002708435,0.159600019455,exp1,,8208,8192,pilot.0000,rp.session.titan-ext2.aleang9.017271.0000
1,,,5584.40790009,4.33520007133,1998.22580004,43.6991999149,4.45230007172,4.45059990883,1954.52660012,3586.18210006,39.2468998432,0.00170016288757,0.115399837494,exp1,,1040,1024,pilot.0000,rp.session.titan-ext2.aleang9.017268.0012
2,,,5639.65440011,4.13510012627,2075.30420017,43.165500164,4.26630020142,4.26460003853,2032.13870001,3564.35019994,38.8991999626,0.00170016288757,0.129499912262,exp1,,1040,1024,pilot.0000,rp.session.titan-ext2.aleang9.017268.0015
3,,,41341.1487999,4.36479997635,37755.7820001,46.7328000069,4.48340010643,4.48130011559,37709.0492001,3585.36679983,42.2493999004,0.00209999084473,0.116500139236,exp1,,2064,2048,pilot.0000,rp.session.titan-ext2.aleang9.017268.0018
4,,,1538.23210001,4.17549991608,389.099799871,35.1364998817,4.29829978943,4.29619979858,353.96329999,1149.13230014,30.8382000923,0.00209999084473,0.120699882507,exp1,ccs.ornl.gov,528,512,pilot.0000,rp.session.titan-ext6.aleang9.017266.0011
5,1356.52929997,,,4.15499997139,156.14109993,42.446199894,4.28819990158,4.28669977188,113.694900036,1200.38820004,38.1579999924,0.00150012969971,0.131699800491,exp1,,528,512,pilot.0000,rp.session.titan-ext5.aleang9.017261.0050
6,1413.79010034,,,4.33070015907,313.408200264,35.606700182,4.47110033035,4.46930027008,277.801500082,1100.38190007,31.1355998516,0.00180006027222,0.138600111008,exp1,,528,512,pilot.0000,rp.session.titan-ext6.aleang9.017267.0002
7,1234.1650002,,,4.20670008659,134.111800194,38.9306001663,4.32360005379,4.3220000267,95.1812000275,1100.05320001,34.6070001125,0.00160002708435,0.115299940109,exp1,,528,512,pilot.0000,rp.session.titan-ext5.aleang9.017261.0038
8,,,1361.6099999,3.93349981308,166.394899845,39.1712999344,4.05919981003,4.05739998817,127.223599911,1195.21510005,35.1121001244,0.00179982185364,0.123900175095,exp1,ccs.ornl.gov,528,512,pilot.0000,rp.session.titan-ext5.aleang9.017261.0039
9,1460.02690029,,,4.09100031853,358.953000307,36.7259001732,4.2123003006,4.21030020714,322.227100134,1101.07389998,32.5135998726,0.00200009346008,0.119299888611,exp1,,528,512,pilot.0000,rp.session.titan-ext6.aleang9.017267.0010
10,,,1420.46799994,3.8765001297,115.438899994,37.8810999393,3.99390006065,3.99220013618,77.5578000546,1305.02909994,33.8871998787,0.00169992446899,0.115700006485,exp1,ccs.ornl.gov,528,512,pilot.0000,rp.session.titan-ext5.aleang9.017261.0032
11,1316.83410001,,,3.99090003967,116.698999882,38.3108000755,4.10839986801,4.10669994354,78.3881998062,1200.13510013,34.2024002075,0.00169992446899,0.11579990387,exp1,,528,512,pilot.0000,rp.session.titan-ext5.aleang9.017261.0033
