,NEW,P_LRMS_QUEUING,P_LRMS_RUNNING,P_LRMS_SUBMITTING,P_PMGR_QUEUING,P_PMGR_SCHEDULING,TTC,U_AGENT_EXECUTING,U_AGENT_QUEUING,U_AGENT_QUEUING_EXEC,U_AGENT_SCHEDULING,U_UMGR_BINDING,U_UMGR_SCHEDULING,experiment,ncore,ncore_active,nhost,npilot,npilot_active,nunit,nunit_done,nunit_failed,sid
rp.session.titan-ext2.aleang9.017271.0000,4.53540015221,934.53399992,3574.43390012,30.8461999893,0.00160002708435,0.159600019455,4590.38429999,2130.20880008,139.379410028,236.515191317,346.445706129,3.45159983635,36.7940001488,exp1,8208,8208,1,1,1,8192,1056,7136,rp.session.titan-ext2.aleang9.017271.0000
rp.session.titan-ext2.aleang9.017268.0012,4.33520007133,1954.52660012,3586.18210006,39.2468998432,0.00170016288757,0.115399837494,5597.23959994,1050.68079996,5.49259996414,20.1310997009,4.18219947815,0.353399991989,6.10340023041,exp1,1040,1040,1,1,1,1024,1008,16,rp.session.titan-ext2.aleang9.017268.0012
rp.session.titan-ext2.aleang9.017268.0015,4.13510012627,2032.13870001,3564.35019994,38.8991999626,0.00170016288757,0.129499912262,5655.45570016,1463.6020999,0.570202589035,31.3334999084,5.14079999924,0.35790014267,6.13419985771,exp1,1040,1040,1,1,1,1024,1008,16,rp.session.titan-ext2.aleang9.017268.0015
rp.session.titan-ext2.aleang9.017268.0018,4.36479997635,37709.0492001,3585.36679983,42.2493999004,0.00209999084473,0.116500139236,41354.2465999,1072.91750002,9.06059980392,39.815199852,7.14429974556,0.712000131607,8.7390999794,exp1,2064,2064,1,1,1,2048,1024,1024,rp.session.titan-ext2.aleang9.017268.0018
rp.session.titan-ext6.aleang9.017266.0011,4.17549991608,353.96329999,1149.13230014,30.8382000923,0.00209999084473,0.120699882507,1540.0302,1042.87400007,0.21280002594,9.20899987221,0.985999822617,0.171800136566,2.82620000839,exp1,528,528,1,1,1,512,512,0,rp.session.titan-ext6.aleang9.017266.0011
rp.session.titan-ext5.aleang9.017261.0050,4.15499997139,113.694900036,1200.38820004,38.1579999924,0.00150012969971,0.131699800491,1358.00999999,1061.16129994,0.270301818848,19.5412998199,6.54749751091,0.168599843979,3.8368999958,exp1,528,528,1,1,1,512,512,0,rp.session.titan-ext5.aleang9.017261.0050
rp.session.titan-ext6.aleang9.017267.0002,4.33070015907,277.801500082,1100.38190007,31.1355998516,0.00180006027222,0.138600111008,1414.99150014,1050.18990016,0.279399394989,13.1162993908,0.346698284149,0.173099994659,2.62980008125,exp1,528,528,1,1,1,512,512,0,rp.session.titan-ext6.aleang9.017267.0002
rp.session.titan-ext5.aleang9.017261.0038,4.20670008659,95.1812000275,1100.05320001,34.6070001125,0.00160002708435,0.115299940109,1235.48120022,1082.88259983,2.55789971352,9.62670063972,9.98340034485,0.167900085449,3.82089996338,exp1,528,528,1,1,1,512,512,0,rp.session.titan-ext5.aleang9.017261.0038
rp.session.titan-ext5.aleang9.017261.0039,3.93349981308,127.223599911,1195.21510005,35.1121001244,0.00179982185364,0.123900175095,1363.81439996,1042.60740018,0.304099559784,9.38640022278,1.26310062408,0.171899795532,3.90140008926,exp1,528,528,1,1,1,512,512,0,rp.session.titan-ext5.aleang9.017261.0039
rp.session.titan-ext6.aleang9.017267.0010,4.09100031853,322.227100134,1101.07389998,32.5135998726,0.00200009346008,0.119299888611,1462.12810016,1039.71500015,0.266800165176,12.8588998318,0.35099864006,0.178000211716,2.4998998642,exp1,528,528,1,1,1,512,512,0,rp.session.titan-ext6.aleang9.017267.0010
