,CANCELED,DONE,FAILED,NEW,PMGR_ACTIVE,PMGR_ACTIVE_PENDING,PMGR_LAUNCHING,PMGR_LAUNCHING_PENDING,P_LRMS_QUEUING,P_LRMS_RUNNING,P_LRMS_SUBMITTING,P_PMGR_QUEUING,P_PMGR_SCHEDULING,experiment,hid,ncore,nunit,pid,sid
0,1497.31679988,,,2.43039989471,596.559200048,36.8111000061,2.4335000515,2.43179988861,559.748100042,900.757599831,34.3775999546,0.00170016288757,0.00139999389648,exp1,stampede.tacc.utexas.edu,2048,2048,pilot.0000,rp.session.radical.merzky.017214.0000
1,3320.48860002,,,2.38669991493,2319.38189983,34.339799881,2.38949990273,2.38819980621,2285.04209995,1001.10670018,31.9502999783,0.00130009651184,0.00149989128113,exp1,stampede.tacc.utexas.edu,4096,4096,pilot.0000,rp.session.radical.merzky.017214.0001
2,982.577199936,,,2.41109991074,181.925199986,39.9910998344,2.41389989853,2.41240000725,141.934100151,800.65199995,37.5771999359,0.00149989128113,0.00130009651184,exp1,stampede.tacc.utexas.edu,512,512,pilot.0000,rp.session.radical.merzky.017220.0010
3,,,1113.82380009,2.63620018959,191.355000019,43.5344002247,2.63910007477,2.63760018349,147.820599794,922.468800068,40.8953001499,0.00149989128113,0.00139999389648,exp1,stampede.tacc.utexas.edu,1024,1024,pilot.0000,rp.session.radical.merzky.017220.0011
4,42206.7526,,,2.8884999752,41406.1900001,47.5578999519,2.88999986649,2.88919997215,41358.6321001,800.562599897,44.6679000854,0.000799894332886,0.000699996948242,exp1,stampede.tacc.utexas.edu,128,128,pilot.0000,rp.session.radical.merzky.017233.0002
5,1184.27699995,,,2.71339988708,183.314699888,44.7876999378,2.71479988098,2.71409988403,138.52699995,1000.96230006,42.0729000568,0.000699996948242,0.000699996948242,exp1,stampede.tacc.utexas.edu,4096,4096,pilot.0000,rp.session.radical.merzky.017227.0017
6,1076.12489986,,,2.45210003853,174.783900023,37.127300024,2.45359992981,2.45280003548,137.656599998,901.340999842,34.6737000942,0.000799894332886,0.000699996948242,exp1,stampede.tacc.utexas.edu,1024,1024,pilot.0000,rp.session.radical.merzky.017227.0015
7,979.315000057,,,2.71979999542,177.856100082,38.6965999603,2.7212998867,2.72040009499,139.159500122,801.458899975,35.9753000736,0.000899791717529,0.000600099563599,exp1,stampede.tacc.utexas.edu,512,512,pilot.0000,rp.session.radical.merzky.017227.0014
8,980.590800047,,,2.58590006828,179.889800072,41.9453999996,2.58759999275,2.58669996262,137.944400072,800.700999975,39.3578000069,0.000900030136108,0.000799894332886,exp1,stampede.tacc.utexas.edu,256,256,pilot.0000,rp.session.radical.merzky.017227.0013
9,981.307300091,,,2.44429993629,179.871799946,42.692499876,2.44569993019,2.44499993324,137.17930007,801.435500145,40.2467999458,0.000699996948242,0.000699996948242,exp1,stampede.tacc.utexas.edu,128,128,pilot.0000,rp.session.radical.merzky.017227.0012
10,1192.18709993,,,2.36579990387,191.093800068,42.7058000565,2.36710000038,2.36640000343,148.388000011,1001.09329987,40.3387000561,0.000699996948242,0.000600099563599,exp1,stampede.tacc.utexas.edu,4096,4096,pilot.0000,rp.session.radical.merzky.017227.0011
11,,,1210.06369996,2.56850004196,185.976099968,42.8282999992,2.57039999962,2.56960010529,143.147799969,1024.08759999,40.2578999996,0.000799894332886,0.00110006332397,exp1,stampede.tacc.utexas.edu,2048,2048,pilot.0000,rp.session.radical.merzky.017227.0010
12,2749.98250008,,,3.99480009079,148.184800148,59.4586000443,4.11330008507,4.11190009117,88.7262001038,2601.79769993,55.3452999592,0.00139999389648,0.117100000381,exp1,ccs.ornl.gov,512,512,pilot.0000,rp.session.titan-ext1.merzky1.017241.0011
13,,,8244.64579988,3.9470000267,5161.18420005,59.0493998528,4.06259989738,4.0611000061,5102.1348002,3083.46159983,54.9867999554,0.00149989128113,0.114099979401,exp1,ccs.ornl.gov,1024,1024,pilot.0000,rp.session.titan-ext1.merzky1.017241.0012
14,,,2411.23029995,3.86400008202,253.903699875,66.839400053,3.98160004616,3.98000001907,187.064299822,2157.32660007,62.8578000069,0.00160002708435,0.115999937057,exp1,ccs.ornl.gov,528,512,pilot.0000,rp.session.titan-ext1.merzky1.017242.0008
15,1084.52589989,,,2.36540007591,183.348500013,40.4790999889,2.36789989471,2.36660003662,142.869400024,901.177399874,38.1112000942,0.00129985809326,0.00119996070862,exp1,stampede.tacc.utexas.edu,1024,1024,pilot.0000,rp.session.radical.merzky.017213.0006
16,3338.17200017,,,2.42840003967,2537.5927,41.4937000275,2.43099999428,2.42970013618,2496.09899998,800.579300165,39.0627000332,0.00129985809326,0.00130009651184,exp1,stampede.tacc.utexas.edu,512,512,pilot.0000,rp.session.radical.merzky.017213.0005
17,1169.22279978,,,2.34119987488,368.500599861,54.9443998337,2.3435997963,2.3422999382,313.556200027,800.722199917,52.6008000374,0.00129985809326,0.00110006332397,exp1,stampede.tacc.utexas.edu,256,256,pilot.0000,rp.session.radical.merzky.017213.0004
18,1297.45679998,,,2.7025001049,196.212300062,45.3315000534,2.70440006256,2.70340013504,150.880800009,1101.24449992,42.6270999908,0.000999927520752,0.000900030136108,exp1,stampede.tacc.utexas.edu,256,256,pilot.0000,rp.session.radical.merzky.017192.0009
19,1168.87949991,,,2.6345000267,367.538899899,49.4011998177,2.63669991493,2.6357998848,318.137700081,801.340600014,46.7644999027,0.000900030136108,0.00129985809326,exp1,stampede.tacc.utexas.edu,128,128,pilot.0000,rp.session.radical.merzky.017192.0008
20,,,2345.61690021,4.02960038185,150.840199947,61.228700161,4.14540028572,4.14360022545,89.6114997864,2194.77670026,57.0832998753,0.00180006027222,0.113999843597,exp1,ccs.ornl.gov,1040,1024,pilot.0000,rp.session.titan-ext1.merzky1.017242.0001
21,,,2585.91729999,3.90019989014,403.22059989,61.1176998615,4.01689982414,4.01539993286,342.102900028,2182.6967001,57.1008000374,0.00149989128113,0.115200042725,exp1,ccs.ornl.gov,528,512,pilot.0000,rp.session.titan-ext1.merzky1.017242.0000
