,NEW,P_LRMS_QUEUING,P_LRMS_RUNNING,P_LRMS_SUBMITTING,P_PMGR_QUEUING,P_PMGR_SCHEDULING,TTC,U_AGENT_EXECUTING,U_AGENT_QUEUING,U_AGENT_QUEUING_EXEC,U_AGENT_SCHEDULING,U_UMGR_BINDING,U_UMGR_SCHEDULING,experiment,ncore,ncore_active,nhost,npilot,npilot_active,nunit,nunit_done,nunit_failed,sid
rp.session.radical.merzky.017214.0000,2.43039989471,559.748100042,900.757599831,34.3775999546,0.00170016288757,0.00139999389648,1498.58159995,831.075400114,0.490899801254,78.8041000366,3.9851000309,0.241800069809,1.02309989929,exp1,2048,2048,1,1,1,2048,2048,0,rp.session.radical.merzky.017214.0000
rp.session.radical.merzky.017214.0001,2.38669991493,2285.04209995,1001.10670018,31.9502999783,0.00130009651184,0.00149989128113,3339.89100003,922.978499889,1.00460004807,172.59649992,20.9184000492,0.47889995575,2.07690000534,exp1,4096,4096,1,1,1,4096,4096,0,rp.session.radical.merzky.017214.0001
rp.session.radical.merzky.017220.0010,2.41109991074,141.934100151,800.65199995,37.5771999359,0.00149989128113,0.00130009651184,1017.59839988,770.752599955,0.12030005455,15.1217000484,0.571300029755,0.0732998847961,0.263700008392,exp1,512,512,1,1,1,512,512,0,rp.session.radical.merzky.017220.0010
rp.session.radical.merzky.017220.0011,2.63620018959,147.820599794,922.468800068,40.8953001499,0.00149989128113,0.00139999389648,1115.9526,785.354799986,0.247899770737,35.2739999294,1.4118001461,0.145999908447,0.513700008392,exp1,1024,1024,1,1,1,1024,1024,0,rp.session.radical.merzky.017220.0011
rp.session.radical.merzky.017233.0002,2.8884999752,41358.6321001,800.562599897,44.6679000854,0.000799894332886,0.000699996948242,42241.0479999,762.158400059,0.0321998596191,1.95180010796,0.109200000763,0.0183999538422,0.0754001140594,exp1,128,128,1,1,1,128,128,0,rp.session.radical.merzky.017233.0002
rp.session.radical.merzky.017227.0017,2.71339988708,138.52699995,1000.96230006,42.0729000568,0.000699996948242,0.000699996948242,1203.85800004,928.325999975,1.01910018921,171.466700077,19.5620000362,0.558599948883,2.11940002441,exp1,4096,4096,1,1,1,4096,4096,0,rp.session.radical.merzky.017227.0017
rp.session.radical.merzky.017227.0015,2.45210003853,137.656599998,901.340999842,34.6737000942,0.000799894332886,0.000699996948242,1077.33889985,830.732900143,0.245399951935,31.3387999535,1.36630010605,0.158099889755,0.519100189209,exp1,1024,1024,1,1,1,1024,1024,0,rp.session.radical.merzky.017227.0015
rp.session.radical.merzky.017227.0014,2.71979999542,139.159500122,801.458899975,35.9753000736,0.000899791717529,0.000600099563599,1012.64899993,774.432800055,0.122700214386,15.6598000526,0.554899930954,0.0643999576569,0.279899835587,exp1,512,512,1,1,1,512,512,0,rp.session.radical.merzky.017227.0014
rp.session.radical.merzky.017227.0013,2.58590006828,137.944400072,800.700999975,39.3578000069,0.000900030136108,0.000799894332886,1014.63560009,764.265500069,0.0631000995636,5.28429985046,0.238699913025,0.0378999710083,0.181499958038,exp1,256,256,1,1,1,256,256,0,rp.session.radical.merzky.017227.0013
rp.session.radical.merzky.017227.0012,2.44429993629,137.17930007,801.435500145,40.2467999458,0.000699996948242,0.000699996948242,1014.81399989,757.019799948,0.0327000617981,2.02740001678,0.112499952316,0.016300201416,0.0660998821259,exp1,128,128,1,1,1,128,128,0,rp.session.radical.merzky.017227.0012
rp.session.radical.merzky.017227.0011,2.36579990387,148.388000011,1001.09329987,40.3387000561,0.000699996948242,0.000600099563599,1211.6236999,925.835200071,1.0,160.124599934,18.9813997746,0.494099855423,2.31080007553,exp1,4096,4096,1,1,1,4096,4096,0,rp.session.radical.merzky.017227.0011
rp.session.radical.merzky.017227.0010,2.56850004196,143.147799969,1024.08759999,40.2578999996,0.000799894332886,0.00110006332397,1211.79819989,843.126200199,0.487499952316,79.2101998329,3.83920001984,0.244699954987,1.01559996605,exp1,2048,2048,1,1,1,2048,2048,0,rp.session.radical.merzky.017227.0010
rp.session.titan-ext1.merzky1.017241.0011,3.99480009079,88.7262001038,2601.79769993,55.3452999592,0.00139999389648,0.117100000381,2751.41470003,2529.19749999,0.345499992371,11.4162006378,1945.22539997,0.121099948883,2.07060003281,exp1,512,512,1,1,1,512,512,0,rp.session.titan-ext1.merzky1.017241.0011
rp.session.titan-ext1.merzky1.017241.0012,3.9470000267,5102.1348002,3083.46159983,54.9867999554,0.00149989128113,0.114099979401,8245.99399996,2973.14320016,0.537400007248,22.8221004009,1985.91429996,0.240200042725,3.29270005226,exp1,1024,1024,1,1,1,1024,1024,0,rp.session.titan-ext1.merzky1.017241.0012
rp.session.titan-ext1.merzky1.017242.0008,3.86400008202,187.064299822,2157.32660007,62.8578000069,0.00160002708435,0.115999937057,2413.24749994,2054.50819993,0.360300064087,11.6849002838,3.08990001678,0.117300033569,2.12839984894,exp1,528,528,1,1,1,512,512,0,rp.session.titan-ext1.merzky1.017242.0008
rp.session.radical.merzky.017213.0006,2.36540007591,142.869400024,901.177399874,38.1112000942,0.00129985809326,0.00119996070862,1085.73709989,791.033699989,0.246500015259,36.5000998974,1.48440003395,0.13840007782,0.501600027084,exp1,1024,1024,1,1,1,1024,1024,0,rp.session.radical.merzky.017213.0006
rp.session.radical.merzky.017213.0005,2.42840003967,2496.09899998,800.579300165,39.0627000332,0.00129985809326,0.00130009651184,3372.64450002,770.544900179,0.123899936676,13.625,0.565099954605,0.0543999671936,0.270599842072,exp1,512,512,1,1,1,512,512,0,rp.session.radical.merzky.017213.0005
rp.session.radical.merzky.017213.0004,2.34119987488,313.556200027,800.722199917,52.6008000374,0.00129985809326,0.00110006332397,1203.38149977,758.477999926,0.063600063324,3.71930003166,0.241199970245,0.0281000137329,0.123899936676,exp1,256,256,1,1,1,256,256,0,rp.session.radical.merzky.017213.0004
rp.session.radical.merzky.017192.0009,2.7025001049,150.880800009,1101.24449992,42.6270999908,0.000999927520752,0.000900030136108,1331.41330004,760.298099995,0.0647001266479,4.6478998661,0.234999895096,0.0315999984741,0.170300006866,exp1,256,256,1,1,1,256,256,0,rp.session.radical.merzky.017192.0009
rp.session.radical.merzky.017192.0008,2.6345000267,318.137700081,801.340600014,46.7644999027,0.000900030136108,0.00129985809326,1202.29979992,758.939599991,0.0338001251221,1.91190004349,0.112799882889,0.0195999145508,0.0863001346588,exp1,128,128,1,1,1,128,128,0,rp.session.radical.merzky.017192.0008
rp.session.titan-ext1.merzky1.017242.0001,4.02960038185,89.6114997864,2194.77670026,57.0832998753,0.00180006027222,0.113999843597,2347.34549999,2072.00939989,0.85489988327,24.8752999306,7.46309995651,0.251000165939,3.01539993286,exp1,1040,1040,1,1,1,1024,1024,0,rp.session.titan-ext1.merzky1.017242.0001
rp.session.titan-ext1.merzky1.017242.0000,3.90019989014,342.102900028,2182.6967001,57.1008000374,0.00149989128113,0.115200042725,2587.56499982,2062.02670002,0.343800067902,11.7160000801,3.30110001564,0.11679983139,1.86180019379,exp1,528,528,1,1,1,512,512,0,rp.session.titan-ext1.merzky1.017242.0000
rp.session.titan-ext1.merzky1.017242.0007,3.91689991951,86.3630998135,2198.34120011,58.5221002102,0.00159978866577,0.116300106049,2349.36369991,2046.69810009,0.173799991608,5.41739988327,1.27940011024,0.061399936676,1.21020007133,exp1,272,272,1,1,1,256,256,0,rp.session.titan-ext1.merzky1.017242.0007
rp.session.titan-ext1.merzky1.017241.0008,5.02130007744,117.358199835,3609.72410011,50.2148001194,0.00149989128113,0.116600036621,3783.88899994,3362.72379994,64.3639073372,1041.68079925,1960.28769994,8.48679995537,48.8698000908,exp1,16384,16384,1,1,1,16384,16384,0,rp.session.titan-ext1.merzky1.017241.0008
rp.session.titan-ext1.merzky1.017242.0005,3.81430006027,1396.80070019,3111.69599962,53.3694000244,0.00160002708435,0.115499973297,4567.13039994,2804.32240009,11.3384001255,645.710599899,527.032099962,3.96429991722,41.116300106,exp1,16400,16400,1,1,1,16384,16384,0,rp.session.titan-ext1.merzky1.017242.0005
rp.session.titan-ext1.merzky1.017242.0004,4.00340008736,3961.6624999,2470.82380009,59.6363999844,0.00180006027222,0.119199991226,11757.2815001,2312.88910007,5.67140007019,269.527799845,162.638999939,2.0287001133,19.8936998844,exp1,8208,8208,1,1,1,8192,8192,0,rp.session.titan-ext1.merzky1.017242.0004
rp.session.radical.merzky.017234.0000,2.78110003471,15419.8998001,800.488600016,36.7886998653,0.000800132751465,0.000899791717529,16294.4254,768.481699944,0.0626997947693,4.63179993629,0.235700130463,0.0305001735687,0.125399827957,exp1,256,256,1,1,1,256,256,0,rp.session.radical.merzky.017234.0000
rp.session.radical.merzky.017221.0000,2.81870007515,141.525900126,901.297999859,39.5376999378,0.00130009651184,0.00119996070862,1086.68920016,828.940900087,0.501100063324,75.867399931,4.7351000309,0.224099874496,0.996999979019,exp1,2048,2048,1,1,1,2048,2048,0,rp.session.radical.merzky.017221.0000
rp.session.radical.merzky.017221.0001,2.49320006371,136.668800116,1001.16369987,39.0544998646,0.00139999389648,0.00119996070862,1199.07119989,919.681200027,0.982100009918,167.900599957,20.4167001247,0.520300149918,2.12949991226,exp1,4096,4096,1,1,1,4096,4096,0,rp.session.radical.merzky.017221.0001
rp.session.titan-ext1.merzky1.017242.0003,3.98280000687,575.1947999,2310.43190026,58.2757999897,0.00160002708435,0.121999979019,2949.85610008,2154.55010009,2.19260001183,110.530900002,43.478399992,0.963700056076,15.1653997898,exp1,4112,4112,1,1,1,4096,4096,0,rp.session.titan-ext1.merzky1.017242.0003
rp.session.titan-ext1.merzky1.017242.0002,3.89719986916,102.583599806,2202.45930004,57.8689000607,0.00189995765686,0.111200094223,2368.50869989,2117.97289991,1.39810013771,56.2427999973,17.9789998531,0.474999904633,5.57859992981,exp1,2064,2064,1,1,1,2048,2048,0,rp.session.titan-ext1.merzky1.017242.0002
rp.session.titan-ext1.merzky1.017241.0019,3.85549998283,459.094399929,2185.99540019,56.7623999119,0.00160002708435,0.113000154495,2707.89480019,2044.84350014,0.170300006866,5.4781999588,1.32500004768,0.0618000030518,1.09050011635,exp1,272,272,1,1,1,256,256,0,rp.session.titan-ext1.merzky1.017241.0019
rp.session.radical.merzky.017220.0009,2.42300009727,140.001300097,801.316399813,47.0701999664,0.00130009651184,0.0010998249054,1024.50320005,758.260200024,0.0636999607086,3.67379999161,0.238000154495,0.0286998748779,0.125100135803,exp1,256,256,1,1,1,256,256,0,rp.session.radical.merzky.017220.0009
